aaron           nora aaron, nor aaron
ababa           ababa
abased          des abased
abates          set abates
abba            abba
abbe            ebb abbe
abler           abler elba
abos            sob abos
abut            tub abut
abuts           stub abuts
academia        aimed academia
acadia          aid acadia
accede          accede decca
ada             ada
adam            adam ada, mad adam
aden            ned aden
aesop           pose aesop
affairs         sri affairs
agar            rag agar
agates          set agates
aglow           aglow olga
airs            sri airs
alas            sal alas
albany          albany nabla
alee            eel alee
alias           sail alias
alien           neil alien
alive           evil alive
allah           hall allah
allen           allen ella, nell allen
alley           alley ella, yell alley
allis           sill allis
allot           toll allot
aloof           fool aloof
amadeus         sued amadeus
amaretto        otter amaretto
amid            dim amid
amoral          amoral aroma
analyticity     analyticity lana
andes           andes edna
anita           anita tina
anna            anna, ann anna
annal           annal anna
anon            non anon
anus            sun anus
apart           trap apart
appalled        dell appalled
appanage        egan appanage
apse            apse spa
arab            bar arab
area            area era
arenas          saner arenas
ares            ares era
arid            arid ira
arises          arises ira
arrest          arrest serra
asleep          peels asleep
assam           mass assam
assert          tress assert
asserts         stress asserts
asset           tess asset
astor           rots astor
atlas           salt atlas
atop            pot atop
aver            aver eva
award           draw award
awarder         redraw awarder
awed            dew awed
axer            rex axer
axes            sex axes
axis            six axis
bach            bach cab
bacilli         bacilli cab
back            back cab
bags            bags gab
baja            baja jab
bald            bald lab
bale            bale lab
bali            bali lab
balk            balk lab
ball            ball lab
balled          della balled
ballets         stella ballets
balm            balm lab
balsa           balsa slab
banal           lana banal
banana          banana nab
band            band nab
banded          banded nab
bane            bane nab
bang            bang nab
bank            bank nab
bans            bans nab
barb            bra barb
barbed          debra barbed
bards           bards drab
bare            era bare
barge           barge grab
baron           nora baron
basil           lisa basil
bath            bath tab
bats            bats tab
beam            mae beam
bear            rae bear
beef            fee beef
bees            see bees
bela            ale bela
belay           yale belay
beryl           lyre beryl
beta            ate beta
bib             bib
bibs            bibs bib
bile            eli bile
birch           birch crib
bird            bird rib
bled            del bled
bob             bob
bobs            bobs bob
bohr            rho bohr
bomb            bomb mob
boner           reno boner
boob            boob, boo boob
booboo          booboo boob
booby           booby boob
boom            moo boom
boot            too boot
bordered        bordered rob
bore            bore rob
borg            borg rob
born            born rob
bose            bose sob
boss            boss sob
bosses          bosses sob
bottom          motto bottom
brae            ear brae
braes           sear braes
bragg           bragg garb
brags           brags garb
brat            tar brat
brats           star brats
breed           deer breed
breve           breve verb, ever breve
brian           nair brian
brood           door brood
broom           moor broom
brow            brow orb
bruce           bruce curb
buck            buck cub
budd            budd dub
budded          budded dub
buds            buds dub
buoy            you buoy
burdened        burdened rub
burl            burl rub
burn            burn rub
burp            burp rub
burr            burr rub
bursitis        bursitis rub
bursts          bursts rub
burt            burt rub
burtt           burtt rub
bury            bury rub
bush            bush sub
buss            buss sub
busses          busses sub
bust            bust sub
busy            busy sub
butt            butt tub
byrd            dry byrd
cable           elba cable
cackle          elk cackle
caleb           bela caleb
calf            calf lac
call            call lac
called          della called
calm            calm lac
came            came mac
camp            camp mac
canal           lana canal
caner           rena caner
caps            spa caps
care            era care
cave            eva cave
cecil           lice cecil
cede            cede dec
cesare          erase cesare
cicada          ada cicada
cicero          ore cicero
civic           civic
