aah             ha aah
abates          set abates
abed            deb abed
abut            tub abut
abuts           abuts tuba, stub abuts
academia        aimed academia
aces            sec aces
aft             aft fa
agates          set agates
aha             aha, aha ha, ah aha
ailed           deli ailed
aim             mi aim
alias           sail alias
alit            til alit
alive           evil alive
alley           yell alley
allot           toll allot
aloof           fool aloof
amid            dim amid
amoral          amoral aroma
amp             amp ma
anus            sun anus
apart           trap apart
ape             ape pa
appalled        dell appalled
apse            apse spa
apses           apses pa
apt             apt pa
are             er are
area            area era
arenas          saner arenas
ares            ares era
aria            air aria
asleep          peels asleep
assailed        deli assailed
asserts         stress asserts
ate             ate ta
atlas           salt atlas
atop            pot atop
availed         deli availed
aver            rev aver
avow            avow ova
await           ti await
award           draw award
aware           er aware
away            yaw away
awed            dew awed
awes            sew awes
axe             ex axe
axes            sex axes
axis            six axis
ayatollahs      shallot ayatollahs
bacilli         bacilli cab
back            back cab
bade            bade dab
bags            bags gab
bah             ha bah
bald            bald lab
bale            bale lab
balk            balk lab
ball            ball lab
balm            balm lab
balsa           balsa slab
banana          banana nab
band            band nab
banded          banded nab
bane            bane nab
bang            bang nab
banister        retsina banister
bank            bank nab
bans            bans nab
bap             pa bap
baps            spa baps
barb            bra barb
bards           bards drab
bare            era bare
bares           sera bares
barge           barge grab
bat             ta bat
bath            bath tab
bats            bats tab
bean            nae bean
bedded          bedded deb
beds            beds deb
beef            fee beef
been            nee been
beep            pee beep
bees            see bees
beet            tee beet
beta            ate beta
bib             bib
bibs            bibs bib
biff            biff fib
bile            bile lib
bilge           bilge glib
bilk            bilk lib
bill            bill lib
bind            bind nib
bins            bins nib
birch           birch crib
bird            bird rib
bit             ti bit
blag            gal blag
bleep           peel bleep
bloc            col bloc
blubs           blubs bulb
bob             bob
bobbed          deb bobbed
bobbin          nib bobbin
bobs            bobs bob
bod             do bod
bode            bode dob
bods            bods dob
body            body dob
bog             go bog
bogs            bogs gob
bogy            bogy gob
bold            bold lob
bole            bole lob
boll            boll lob
bolt            bolt lob
bomb            bomb mob
bond            bond nob
bonded          bonded nob
bone            bone nob
bong            bong nob
bonk            bonk nob
bonks           bonks knob
bony            bony nob
boob            boob, boo boob
boobs           boobs boob
booby           booby boob
boom            moo boom
boot            too boot
bordered        bordered rob
bore            bore rob
born            born rob
bosh            bosh sob
boss            boss sob
bosses          bosses sob
bottom          motto bottom
boy             yo boy
boys            boys yob
brae            ear brae
brags           brags garb
brat            tar brat
brats           star brats
breed           deer breed
bro             or bro
brood           door brood
broom           moor broom
bros            bros orb
brow            brow orb
bub             bub
bubs            bubs bub
buck            buck cub
budded          budded dub
buds            buds dub
bulbs           bulbs blub
bung            bung nub, gnu bung
bunk            bunk nub
buns            buns nub
bunt            bunt nub
buoy            you buoy
burdened        burdened rub
burgh           burgh grub
burk            burk rub
burn            burn rub
burp            burp rub
burr            burr rub
burs            burs rub
bursts          bursts rub
bury            bury rub
bush            bush sub
busk            busk sub
busses          busses sub
bust            bust sub
busy            busy sub
buts            buts tub
butt            butt tub
cache           eh cache
cackle          elk cackle
cacti           it cacti
cam             ma cam
came            came mac
camp            camp mac
cams            cams mac
canister        retsina canister
cap             pa cap
caps            spa caps
care            era care
cares           sera cares
case            case sac
cash            cash sac
cask            cask sac
cassettes       cassettes sac
cast            cast sac
cat             ta cat
cave            cave vac
chap            pah chap
cite            cite tic
city            city tic
civic           civic
civics          civics civic
clap            pal clap
clever          revel clever
cockle          elk cockle
cod             do cod
coda            coda doc
code            code doc
cods            cods doc
cog             go cog
col             lo col
comma           ammo comma
con             no con
cool            loo cool
coop            poo coop
coot            too coot
cos             so cos
cot             to cot
coy             yo coy
crab            crab arc, bar crab
crag            crag arc
cram            cram arc, mar cram
crane           crane narc
crank           crank narc
crap            crap arc, par crap
craps           spar craps
crass           crass arc
creed           deer creed
creel           leer creel
creep           peer creep
crime           emir crime
cyan            nay cyan
dab             dab ad
dabs            dabs bad
dad             dad, dad ad
dado            dado dad
dados           soda dados, so dados
dads            dads dad
daft            daft fad
dag             dag ad
dago            dago gad
dags            dags gad
dale            dale lad
dam             dam ad, ma dam
dame            dame mad
damn            damn mad
damp            damp mad
dams            dams mad
dare            era dare
dares           sera dares
darts           darts trad
dash            dash sad
dawn            dawn wad
day             day ad
dean            nae dean
deb             be deb
debar           debar abed
debases         debases abed
debs            debs bed
debt            debt bed
debut           tube debut
decaf           face decaf
decaff          decaff faced
decafs          decafs faced
decal           lace decal
decals          decals laced
decide          decide diced
decided         decided iced
deduce          ecu deduce
deed            deed
deeds           deeds deed
deep            pee deep
deft            deft fed
defy            defy fed
deified         deified
deity           deity tied
delete          delete led
deli            deli led
deliver         revile deliver
delivers        delivers reviled
delivery        delivery reviled
dell            dell led
demand          demand named
demanded        demanded named
demo            demo med
demos           some demos
denim           mine denim
denims          denims mined
denote          denote toned
depart          depart raped
deport          deport roped, trope deport
derby           derby bred
derv            derv red
detract         detract carted
deuce           deuce cued
devil           live devil
devils          devils lived
dew             we dew
dewy            dewy wed
dial            dial aid
dials           dials laid
diapers         diapers repaid
diary           diary raid
did             did, did id
die             die id
dig             dig id
dike            dike kid
diktat          diktat kid
dill            dill id, dill lid
dim             dim id, mi dim
dime            dime mid
dimes           semi dimes
dims            dims mid
din             din id
dinar           rani dinar
dip             dip id, pi dip
dire            dire rid
dirge           dirge grid
dirk            dirk rid
dirt            dirt rid
dis             dis id
discs           discs id
disks           disks id
diss            diss id
divan           divan avid
divas           divas avid
divider         re divider
dobs            dobs bod
dock            dock cod
docs            docs cod
dodder          red dodder
dodos           so dodos
dog             go dog
dogs            dogs god
dome            dome mod
domed           demo domed
don             no don
done            done nod
dons            dons nod
doodah          ha doodah
doom            moo doom
dooms           dooms mood
dope            dope pod
dork            dork rod
dorm            dorm rod
dory            dory rod
dos             so dos
dose            dose sod
dosh            dosh sod
doss            doss sod
dosses          dosses sod
dost            dost sod
dot             to dot
drab            bar drab
dram            mar dram
drat            tar drat
draw            war draw
drawers         drawers reward
drawl           drawl ward
drawn           drawn ward
draws           draws ward
drays           drays yard
droll           droll lord
droop           poor droop
droops          spoor droops
drown           drown word
drowsy          drowsy sword
dubs            dubs bud
duck            duck cud
duct            duct cud
dud             dud
dude            dude dud
duds            duds dud
